rn,10th,11th,12th,1st-4th,5th-6th,7th-8th,9th,Assoc-acdm,Assoc-voc,Bachelors,Doctorate,HS-grad,Masters,Preschool,Prof-school,Some-college
Cambodia,0,0,0.0000331543001127246,0.0000331543001127246,0,0.0000331543001127246,0,0,0,0.0000994629003381739,0,0.000232080100789072,0,0.0000331543001127246,0,0.000132617200450898
Canada,0.0000663086002254492,0.000132617200450898,0,0,0.0000331543001127246,0.0000663086002254492,0.0000994629003381739,0.0000331543001127246,0.000198925800676348,0.000729394602479942,0.000232080100789072,0.000928320403156289,0.000232080100789072,0,0.0000663086002254492,0.000729394602479942
China,0.0000663086002254492,0,0,0,0,0.000132617200450898,0.0000663086002254492,0,0,0.000629931702141768,0.000298388701014522,0.000530468801803594,0.000364697301239971,0.0000663086002254492,0.0000331543001127246,0.0000663086002254492
Columbia,0.0000663086002254492,0.0000331543001127246,0.0000663086002254492,0.0000331543001127246,0.0000663086002254492,0.0000331543001127246,0.0000994629003381739,0.000132617200450898,0.000165771500563623,0.000132617200450898,0.0000331543001127246,0.000596777402029043,0.0000331543001127246,0,0.0000663086002254492,0.000298388701014522
Cuba,0.0000331543001127246,0.0000331543001127246,0.0000994629003381739,0.0000994629003381739,0.000132617200450898,0.000198925800676348,0.0000663086002254492,0.0000994629003381739,0.0000663086002254492,0.000563623101916319,0.0000663086002254492,0.000762548902592666,0.000165771500563623,0,0.0000994629003381739,0.000563623101916319
Dominican-Republic,0.000132617200450898,0.000132617200450898,0.000165771500563623,0.000198925800676348,0.0000663086002254492,0.000298388701014522,0.000165771500563623,0,0.0000331543001127246,0.0000994629003381739,0,0.000530468801803594,0.0000663086002254492,0.0000663086002254492,0,0.000265234400901797
Ecuador,0.0000331543001127246,0,0.0000331543001127246,0.0000331543001127246,0,0.0000331543001127246,0,0,0.0000331543001127246,0.0000994629003381739,0,0.000331543001127246,0.0000663086002254492,0,0,0.000232080100789072
El-Salvador,0.000132617200450898,0.000132617200450898,0.0000663086002254492,0.000331543001127246,0.000596777402029043,0.000132617200450898,0.000298388701014522,0.0000663086002254492,0,0.000165771500563623,0.0000331543001127246,0.000663086002254492,0.0000994629003381739,0.0000994629003381739,0.0000331543001127246,0.000464160201578145
England,0.0000331543001127246,0.0000331543001127246,0.0000331543001127246,0.0000331543001127246,0.0000331543001127246,0,0,0.000165771500563623,0.0000994629003381739,0.000762548902592666,0.000132617200450898,0.00086201180293084,0.000298388701014522,0,0.0000331543001127246,0.000331543001127246
France,0,0,0,0,0,0,0,0.0000994629003381739,0,0.000232080100789072,0.0000994629003381739,0.000198925800676348,0.000165771500563623,0,0.0000331543001127246,0.0000663086002254492
Germany,0.0000331543001127246,0.0000994629003381739,0.0000331543001127246,0,0,0.0000663086002254492,0,0.000165771500563623,0.000331543001127246,0.00109409190371991,0.000198925800676348,0.00086201180293084,0.000165771500563623,0,0.000132617200450898,0.00106093760360719
Greece,0.0000331543001127246,0.0000331543001127246,0,0,0.0000331543001127246,0.0000663086002254492,0,0,0.000132617200450898,0.0000663086002254492,0,0.000298388701014522,0.0000994629003381739,0,0.0000331543001127246,0.000165771500563623
Guatemala,0.000132617200450898,0.000132617200450898,0.0000663086002254492,0.000298388701014522,0.000265234400901797,0.000265234400901797,0.000132617200450898,0,0.0000331543001127246,0.0000331543001127246,0,0.000497314501690869,0,0.0000331543001127246,0,0.000198925800676348
Haiti,0.0000331543001127246,0.0000663086002254492,0,0.0000331543001127246,0.0000994629003381739,0.0000331543001127246,0.0000994629003381739,0.0000663086002254492,0,0.000165771500563623,0,0.000397851601352695,0,0,0.0000331543001127246,0.000364697301239971
Holand-Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000331543001127246
Honduras,0,0.0000663086002254492,0,0.0000331543001127246,0.0000331543001127246,0,0,0,0,0.0000331543001127246,0,0.0000994629003381739,0,0,0.0000331543001127246,0.0000994629003381739
Hong,0,0.0000331543001127246,0,0,0,0.0000331543001127246,0,0.0000331543001127246,0.0000331543001127246,0.000132617200450898,0.0000663086002254492,0.000132617200450898,0.0000994629003381739,0.0000331543001127246,0,0.0000331543001127246
Hungary,0,0,0,0,0,0,0,0.0000331543001127246,0.0000331543001127246,0.000132617200450898,0,0.000165771500563623,0,0,0,0.0000663086002254492
India,0.0000663086002254492,0.000198925800676348,0,0,0,0,0.0000331543001127246,0.0000994629003381739,0.0000663086002254492,0.000696240302367217,0.000165771500563623,0.000198925800676348,0.000895166103043565,0.0000331543001127246,0.000530468801803594,0.000331543001127246
Iran,0,0,0,0,0,0,0,0.000132617200450898,0,0.000497314501690869,0.000165771500563623,0.000132617200450898,0.000198925800676348,0,0,0.000265234400901797
Ireland,0,0.0000331543001127246,0,0,0,0,0.0000331543001127246,0.0000331543001127246,0.0000331543001127246,0.000165771500563623,0,0.000397851601352695,0.0000331543001127246,0,0,0.0000663086002254492
Italy,0.0000331543001127246,0,0.000132617200450898,0.000132617200450898,0.000331543001127246,0.000132617200450898,0,0.0000994629003381739,0.0000331543001127246,0.000364697301239971,0.0000331543001127246,0.000530468801803594,0.0000994629003381739,0,0.0000663086002254492,0.000265234400901797
Jamaica,0.0000663086002254492,0.000132617200450898,0.0000663086002254492,0,0.0000331543001127246,0,0.0000663086002254492,0.000232080100789072,0.0000994629003381739,0.000232080100789072,0.0000331543001127246,0.00086201180293084,0.0000663086002254492,0,0,0.000762548902592666
Japan,0.0000331543001127246,0,0,0,0,0,0,0.0000331543001127246,0.0000663086002254492,0.000629931702141768,0.0000331543001127246,0.000563623101916319,0.000198925800676348,0,0.0000663086002254492,0.000331543001127246
Laos,0,0,0,0,0.0000663086002254492,0.0000331543001127246,0,0.0000331543001127246,0.0000331543001127246,0.0000331543001127246,0,0.000165771500563623,0,0.0000331543001127246,0.0000331543001127246,0.000132617200450898
Mexico,0.000828857502818116,0.000828857502818116,0.000530468801803594,0.00205556660698893,0.004575293415556,0.00162456070552351,0.00169086930574896,0.0000994629003381739,0.000265234400901797,0.000928320403156289,0.0000331543001127246,0.0040448246137524,0.000165771500563623,0.000497314501690869,0.0000331543001127246,0.0020224123068762
Nicaragua,0.0000331543001127246,0.0000994629003381739,0.0000331543001127246,0,0.0000663086002254492,0.0000331543001127246,0.0000331543001127246,0.0000331543001127246,0.0000331543001127246,0.0000331543001127246,0,0.000298388701014522,0.0000663086002254492,0.0000331543001127246,0,0.000298388701014522
Outlying-US(Guam-USVI-etc),0,0,0,0,0,0,0.0000331543001127246,0,0,0.000132617200450898,0,0.0000994629003381739,0,0,0,0.000198925800676348
Peru,0.0000663086002254492,0.0000663086002254492,0,0,0,0.0000331543001127246,0,0.0000331543001127246,0.0000331543001127246,0.0000994629003381739,0,0.00043100590146542,0.0000331543001127246,0,0,0.000198925800676348
Philippines,0.0000331543001127246,0.000198925800676348,0,0,0.000232080100789072,0.0000331543001127246,0.0000994629003381739,0.000165771500563623,0.000198925800676348,0.0024202639082289,0,0.000994629003381739,0.000232080100789072,0.0000331543001127246,0.000331543001127246,0.00125986340428354
Poland,0,0.0000663086002254492,0,0.0000331543001127246,0,0.0000663086002254492,0.0000331543001127246,0.0000994629003381739,0.0000663086002254492,0.000364697301239971,0.0000331543001127246,0.000629931702141768,0.0000994629003381739,0,0,0.000364697301239971
Portugal,0.0000994629003381739,0,0.0000331543001127246,0.000198925800676348,0,0.000165771500563623,0.000132617200450898,0.0000331543001127246,0.0000663086002254492,0.0000663086002254492,0,0.000298388701014522,0.0000331543001127246,0,0,0
Puerto-Rico,0.0000663086002254492,0.000265234400901797,0.0000331543001127246,0.0000994629003381739,0.000198925800676348,0.000331543001127246,0.000132617200450898,0.0000663086002254492,0.0000663086002254492,0.00043100590146542,0,0.00122670910417081,0,0.0000331543001127246,0,0.000663086002254492
Scotland,0,0.0000331543001127246,0,0,0,0,0,0,0,0.0000331543001127246,0,0.000132617200450898,0.0000663086002254492,0,0,0.0000994629003381739
South,0,0.0000663086002254492,0,0,0,0.0000331543001127246,0,0,0.0000994629003381739,0.000729394602479942,0.0000331543001127246,0.000696240302367217,0.000232080100789072,0,0.0000331543001127246,0.00043100590146542
Taiwan,0,0,0,0,0,0,0,0.0000331543001127246,0,0.000397851601352695,0.000265234400901797,0.0000994629003381739,0.000397851601352695,0,0.0000994629003381739,0.0000994629003381739
Thailand,0,0,0.0000331543001127246,0,0,0,0,0.0000331543001127246,0.0000331543001127246,0.000132617200450898,0.0000331543001127246,0.000198925800676348,0.0000331543001127246,0,0,0.0000663086002254492
Trinadad&Tobago,0,0,0.0000331543001127246,0,0.0000331543001127246,0.0000331543001127246,0.0000994629003381739,0.0000331543001127246,0,0,0,0.000198925800676348,0.0000331543001127246,0,0,0.000132617200450898
United-States,0.0249320336847689,0.0317286652078775,0.0109740733373118,0.00129301770439626,0.00258603540879252,0.0144884291492607,0.0116040050394536,0.0311318878058484,0.0408792520389895,0.153106557920562,0.0104104502353955,0.305317949738081,0.0492009813672833,0.000497314501690869,0.0161792984550096,0.207545918705656
Vietnam,0.0000994629003381739,0.0000994629003381739,0.0000331543001127246,0.0000663086002254492,0.0000663086002254492,0.0000331543001127246,0.0000331543001127246,0.0000331543001127246,0.0000663086002254492,0.00043100590146542,0.0000331543001127246,0.000530468801803594,0,0,0,0.000596777402029043
Yugoslavia,0.0000331543001127246,0,0,0,0,0.0000331543001127246,0.0000331543001127246,0.0000663086002254492,0.0000331543001127246,0.000132617200450898,0,0.0000994629003381739,0,0,0,0.0000994629003381739
