rn,Adm-clerical,Armed-Forces,Craft-repair,Exec-managerial,Farming-fishing,Handlers-cleaners,Machine-op-inspct,Other-service,Priv-house-serv,Prof-specialty,Protective-serv,Sales,Tech-support,Transport-moving
Cambodia,0,0,0.000198925800676348,0.0000331543001127246,0.0000331543001127246,0,0.000132617200450898,0.0000331543001127246,0,0.0000994629003381739,0,0.0000663086002254492,0,0
Canada,0.000397851601352695,0,0.000497314501690869,0.00043100590146542,0.0000663086002254492,0.0000663086002254492,0.000165771500563623,0.000397851601352695,0,0.000795703202705391,0.0000663086002254492,0.000298388701014522,0.0000994629003381739,0.000265234400901797
China,0.0000663086002254492,0,0.0000994629003381739,0.000331543001127246,0,0,0.000265234400901797,0.000530468801803594,0,0.000729394602479942,0,0.000165771500563623,0.0000663086002254492,0
Columbia,0.000265234400901797,0,0.000298388701014522,0.000132617200450898,0,0.0000994629003381739,0.000331543001127246,0.000265234400901797,0.0000331543001127246,0.000165771500563623,0,0.0000994629003381739,0.0000994629003381739,0.0000663086002254492
Cuba,0.000397851601352695,0,0.000232080100789072,0.000530468801803594,0.0000663086002254492,0.0000994629003381739,0.000198925800676348,0.00043100590146542,0.0000663086002254492,0.000364697301239971,0.0000663086002254492,0.000331543001127246,0,0.000265234400901797
Dominican-Republic,0.000132617200450898,0,0.000198925800676348,0.0000663086002254492,0,0.000165771500563623,0.000729394602479942,0.000397851601352695,0.0000331543001127246,0.0000994629003381739,0.0000331543001127246,0.000265234400901797,0,0.0000994629003381739
Ecuador,0.0000331543001127246,0,0.000132617200450898,0.0000331543001127246,0,0.0000331543001127246,0.000265234400901797,0.0000994629003381739,0.0000331543001127246,0.0000663086002254492,0,0.0000994629003381739,0.0000331543001127246,0.0000663086002254492
El-Salvador,0.000132617200450898,0,0.000497314501690869,0.0000663086002254492,0.0000663086002254492,0.000232080100789072,0.000198925800676348,0.00132617200450898,0.000198925800676348,0.000232080100789072,0,0.000232080100789072,0,0.000132617200450898
England,0.000232080100789072,0,0.000265234400901797,0.000663086002254492,0.0000331543001127246,0.0000663086002254492,0.0000994629003381739,0.000232080100789072,0.0000994629003381739,0.000696240302367217,0.0000994629003381739,0.000232080100789072,0.000132617200450898,0
France,0.0000331543001127246,0,0,0.000232080100789072,0.0000331543001127246,0,0,0.0000663086002254492,0.0000663086002254492,0.000265234400901797,0.0000331543001127246,0.0000663086002254492,0.0000994629003381739,0
Germany,0.000696240302367217,0,0.000464160201578145,0.000629931702141768,0.0000331543001127246,0.000132617200450898,0.000165771500563623,0.000232080100789072,0.0000331543001127246,0.00106093760360719,0.000132617200450898,0.00043100590146542,0.000132617200450898,0.0000994629003381739
Greece,0.0000663086002254492,0,0.000165771500563623,0.000331543001127246,0,0.0000331543001127246,0.0000331543001127246,0.000132617200450898,0,0.0000663086002254492,0,0.000132617200450898,0,0
Guatemala,0.0000994629003381739,0,0.000364697301239971,0,0.000132617200450898,0.000298388701014522,0.000298388701014522,0.000232080100789072,0.000364697301239971,0.0000331543001127246,0.0000331543001127246,0.0000994629003381739,0.0000663086002254492,0.0000663086002254492
Haiti,0.000165771500563623,0,0.000132617200450898,0,0,0.0000994629003381739,0.000132617200450898,0.000530468801803594,0.0000331543001127246,0.000132617200450898,0.0000331543001127246,0.0000331543001127246,0,0.0000994629003381739
Holand-Netherlands,0,0,0,0,0,0,0.0000331543001127246,0,0,0,0,0,0,0
Honduras,0.0000663086002254492,0,0.0000331543001127246,0.0000331543001127246,0,0.0000663086002254492,0.0000331543001127246,0.0000331543001127246,0,0.0000331543001127246,0.0000331543001127246,0.0000663086002254492,0,0
Hong,0.0000663086002254492,0,0.000132617200450898,0.0000663086002254492,0.0000331543001127246,0,0.0000663086002254492,0,0,0.000165771500563623,0.0000331543001127246,0.0000331543001127246,0.0000331543001127246,0
Hungary,0.0000331543001127246,0,0.0000994629003381739,0.0000663086002254492,0,0,0,0.0000331543001127246,0.0000331543001127246,0.0000994629003381739,0,0,0.0000331543001127246,0.0000331543001127246
India,0.000364697301239971,0,0.000165771500563623,0.000331543001127246,0,0.0000994629003381739,0.0000663086002254492,0.000132617200450898,0,0.00132617200450898,0.000132617200450898,0.000464160201578145,0.000165771500563623,0.0000663086002254492
Iran,0.0000994629003381739,0,0.0000994629003381739,0.000331543001127246,0,0,0.0000331543001127246,0.000132617200450898,0,0.000397851601352695,0,0.000232080100789072,0.0000331543001127246,0.0000331543001127246
Ireland,0,0,0.000232080100789072,0.0000663086002254492,0.0000331543001127246,0.0000663086002254492,0.0000994629003381739,0.000132617200450898,0,0.000165771500563623,0,0,0,0
Italy,0.000265234400901797,0,0.000397851601352695,0.000232080100789072,0.0000663086002254492,0.000132617200450898,0.000331543001127246,0.000331543001127246,0,0.000364697301239971,0,0.0000994629003381739,0,0.0000331543001127246
Jamaica,0.000563623101916319,0,0.000198925800676348,0.000331543001127246,0,0.000132617200450898,0.0000331543001127246,0.000663086002254492,0.0000331543001127246,0.000198925800676348,0.0000331543001127246,0.000232080100789072,0.000132617200450898,0.0000994629003381739
Japan,0.000298388701014522,0,0.000232080100789072,0.000596777402029043,0.0000331543001127246,0.0000331543001127246,0,0.000298388701014522,0,0.000265234400901797,0.0000331543001127246,0.000165771500563623,0,0
Laos,0.000132617200450898,0,0.0000994629003381739,0.0000331543001127246,0,0,0.000232080100789072,0.0000331543001127246,0,0,0,0.0000331543001127246,0,0
Mexico,0.00119355480405809,0,0.00331543001127246,0.000464160201578145,0.0025528811086798,0.00232080100789072,0.00305019561037067,0.00407797891386513,0.000563623101916319,0.000596777402029043,0.000132617200450898,0.00119355480405809,0.0000994629003381739,0.000663086002254492
Nicaragua,0.000198925800676348,0,0.000132617200450898,0,0,0.000132617200450898,0.000165771500563623,0.000198925800676348,0.0000331543001127246,0.0000331543001127246,0,0.0000663086002254492,0.0000663086002254492,0.0000663086002254492
Outlying-US(Guam-USVI-etc),0,0,0.0000663086002254492,0.000132617200450898,0,0.0000331543001127246,0,0.0000994629003381739,0,0.0000663086002254492,0,0.0000331543001127246,0,0.0000331543001127246
Peru,0,0,0.0000663086002254492,0.0000331543001127246,0,0.000132617200450898,0.000132617200450898,0.000232080100789072,0,0.0000663086002254492,0.0000663086002254492,0.000165771500563623,0.0000331543001127246,0.0000663086002254492
Philippines,0.00119355480405809,0,0.000464160201578145,0.00043100590146542,0.000132617200450898,0.000232080100789072,0.00043100590146542,0.00119355480405809,0.0000663086002254492,0.000928320403156289,0.0000994629003381739,0.000563623101916319,0.000464160201578145,0.0000331543001127246
Poland,0.0000663086002254492,0,0.000397851601352695,0.000165771500563623,0.0000331543001127246,0.000198925800676348,0.000198925800676348,0.000198925800676348,0.0000331543001127246,0.000232080100789072,0,0.000165771500563623,0.0000663086002254492,0.0000994629003381739
Portugal,0.000132617200450898,0,0.000397851601352695,0.0000663086002254492,0.0000331543001127246,0.000165771500563623,0.000198925800676348,0.0000663086002254492,0,0,0.0000331543001127246,0.0000331543001127246,0,0
Puerto-Rico,0.000563623101916319,0,0.000464160201578145,0.000331543001127246,0.000165771500563623,0.000132617200450898,0.000530468801803594,0.000530468801803594,0,0.000331543001127246,0.0000994629003381739,0.000298388701014522,0,0.000165771500563623
Scotland,0.0000331543001127246,0,0,0.0000994629003381739,0,0,0.0000663086002254492,0.0000663086002254492,0,0.0000663086002254492,0.0000331543001127246,0,0,0
South,0.000132617200450898,0,0.000265234400901797,0.00043100590146542,0,0.0000663086002254492,0.0000663086002254492,0.000364697301239971,0,0.000364697301239971,0,0.000629931702141768,0,0.0000331543001127246
Taiwan,0.0000994629003381739,0,0.0000663086002254492,0.000364697301239971,0,0,0,0.0000331543001127246,0,0.000696240302367217,0,0.0000994629003381739,0.0000331543001127246,0
Thailand,0.0000663086002254492,0,0.0000331543001127246,0.000132617200450898,0,0,0.0000331543001127246,0.000132617200450898,0.0000331543001127246,0.0000994629003381739,0.0000331543001127246,0,0,0
Trinadad&Tobago,0.000132617200450898,0,0.0000663086002254492,0.0000331543001127246,0,0,0.0000994629003381739,0.0000994629003381739,0,0.0000331543001127246,0,0.0000331543001127246,0.0000663086002254492,0.0000331543001127246
United-States,0.114349181088787,0.000298388701014522,0.12217359591539,0.123831310921026,0.0291426297990849,0.0394204628340296,0.0559313042901664,0.0920694914130363,0.00298388701014522,0.122438830316292,0.0200915058683111,0.111531065579206,0.0281811550958159,0.0494330614680724
Vietnam,0.000563623101916319,0,0.000397851601352695,0.0000994629003381739,0.0000663086002254492,0.0000663086002254492,0.000265234400901797,0.000298388701014522,0,0.0000994629003381739,0,0.000132617200450898,0.0000994629003381739,0.0000331543001127246
Yugoslavia,0.0000331543001127246,0,0.0000663086002254492,0.000165771500563623,0.0000331543001127246,0,0.0000663086002254492,0.000132617200450898,0,0,0,0,0,0.0000331543001127246
